Playlist Title,Playlist ID,Video Title,Embed URL
No title,PLOVZwvNm10lUf84Y2S3LJT8ZUvFVDwR9W,⟪Vinland Saga⟫ 🛡 Tập 1 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/JPORwwYEAQQ
No title,PLOVZwvNm10lUf84Y2S3LJT8ZUvFVDwR9W,⟪Vinland Saga⟫ 🛡 Tập 2 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/LGgpXD61z7g
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 24 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/R2IO-TTL70I
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 23 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/RFfKBsgzmq0
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 21 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/IaarOB5dUck
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 22 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/DZZJ7oAM0qc
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 19 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/bMKIg7Jv__k
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 20 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/6SDAaWJfmQ0
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 17 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/tPULfY8VYLE
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 18 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/do2woMcR9fQ
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 15 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/k3zZj1mGpRk
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 16 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/kVxZqE-T0r8
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 14 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/ho1_Qxnk1jI
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 13 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/SDYNkdDW2Tw
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 12 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/qNCyV4PgLDg
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 11 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/ElE4_oe627I
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 9 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/dsLtpCAYmg0
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 10 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/2nA5nyYElG0
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 8 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/W1rrV1qzwAQ
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 7 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/4ijieHvIsnE
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 5 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/IP-szkQWLEI
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 6 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/5xi9syLSAvQ
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 4 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/mm-npnsyA9g
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 3 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/Eqb1hCz2yCE
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 2 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/ygfRC5CqPZg
No title,PLOVZwvNm10lVikFZPLeoNliL0VDk0NcPq,⟪Dororo⟫ ⚔ Tập 1 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/JSysk8qFpEY
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 11 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/gA1XTD8G8rA
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 12 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/LsrNxziQp3k
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 10 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/nHZqwSt86kw
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 9 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/Xt2r17gqmNk
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 8 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/xwsoDZDaN0w
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 7 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/XpS1C1mJq8Q
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 6 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/OXgdTlFFNY8
No title,PLOVZwvNm10lXabRk0jl0yx2l6bEjNyx-u,《Dã Ngoại Thảnh Thơi - Yuru Camp⟫ 🏕️ Tập 5 | Vietsub【Ani-One Vietnam】,https://www.youtube.com/embed/Jm_7Ijkm3U4
